"newID","Cottus_ab","LND_ab","SRD_ab","avdep","avgT","mFlow","pctcbbl","pctfines","boulder","elev_m","Area_km2","HAiFLS_for","med_len","BRT_100m","BRT","Cottus_CPUE","LND_CPUE","SRD_CPUE","SegLen"
"YEL_25",0,0,0,0.21,15.4952784034034,0.327083333333333,79.1666666666667,12.5,0,335.887115479,3.81724530205,0,0,0,0,0,0,0,150
"YEL_29",0,0,0,0.231935483870968,18.9616485235235,0.191612903225806,79.3103448275862,20.6896551724138,0.166666666666667,340.772277832,3.80286817932,11.331625,240,1.33333333333333,1,0,0,0,150
"YEL_36",0,0,0,0.171935483870968,15.5823527918198,0.167741935483871,82.1428571428571,10.7142857142857,0.583333333333333,274.491790771,4.96826745081,34.5244102,0,0,0,0,0,0,162
"YEL_39",0,0,0,0.349166666666667,14.3789996246246,0.110833333333333,0,100,0,191.199203491,0.333403294976,2.6882932,0,0,0,0,0,0,150
"YEL_40",0,7,0,0.2475,17.4095651901902,0.366458333333333,93.1818181818182,4.54545454545455,0.916666666666667,262.707946777,9.66771648855,14.6147203,233,19.1111111111111,1,0,1.55555555555556,0,450
"YEL_41",0,16,0,0.234285714285714,17.6083395895896,0.242,76.4705882352941,8.8235294117647,0,329.776000977,2.04553677838,8.23351,0,0,0,0,3.55555555555556,0,450
"YEL_52",0,0,1,0.226923076923077,17.2373154404404,0.474230769230769,69.2307692307692,11.5384615384615,0.583333333333333,303.542755127,1.81446159718,9.0536451,140,0.666666666666667,1,0,0,0.666666666666667,150
"YEL_56",0,94,0,0.250571428571429,15.5823527918198,0.197714285714286,96.6666666666667,0,0.166666666666667,231.461532593,10.2374731897,51.2126541,217,3.77777777777778,1,0,20.8888888888889,0,450
"YEL_57",0,0,17,0.283333333333333,19.8336949449449,0.362916666666667,50,37.5,0,330.174072266,3.37563244456,0.6838439,0,0,0,0,0,11.3333333333333,150
"YEL_65",0,3,0,0.194444444444445,16.9411636636637,0.335277777777778,94.4444444444444,2.77777777777778,0.0909090909090909,312.285125732,4.81383722391,4.9131527,252,7.40740740740741,1,0,1.38888888888889,0,216
"YEL_73",0,3,4,0.441481481481481,17.6376889389389,0.391851851851852,59.2592592592593,29.6296296296296,0.333333333333333,317.370819092,2.61575554707,1.6613392,396,0.555555555555556,1,0,0.833333333333333,1.11111111111111,360
"YEL_77",0,62,7,0.312727272727273,17.797088963964,0.361515151515152,87.0967741935484,6.45161290322581,0.25,333.928222656,7.76788473564,3.0320177,229.5,2.38095238095238,1,0,36.9047619047619,4.16666666666667,168
"YEL_80",6,0,0,0.210294117647059,15.5823527918198,0.12,64.7058823529412,32.3529411764706,1.16666666666667,212.927001953,12.8766703397,83.5687485,0,0,0,1.33333333333333,0,0,450
